task_id,-1,0.0,0.1,0.3,0.5,0.7,0.9
16,False,False,True,,,,
43,False,False,False,True,,,
45,False,False,False,False,True,,
69,False,False,False,False,False,False,True
89,False,False,False,False,False,False,True
104,False,False,False,False,False,True,
111,False,False,False,True,,,
115,False,False,False,False,True,,
122,False,False,True,,,,
126,False,False,False,True,,,
162,False,False,True,,,,
189,False,False,True,,,,
199,False,False,True,,,,
202,False,False,False,False,False,False,True
203,False,False,False,True,,,
207,False,False,False,False,,False,True
208,False,False,False,False,False,True,
228,False,False,False,False,True,,
232,False,False,False,False,True,,
283,False,False,True,,,,
350,False,False,False,False,True,,
362,False,False,True,,,,
372,False,False,False,True,,,
388,False,False,False,False,True,,
418,False,False,True,,,,
420,False,False,False,True,,,
434,False,False,False,False,True,,
445,False,False,True,,,,
469,False,False,False,True,,,
480,False,False,True,,,,
497,False,False,False,False,False,True,
