task_id,-1,0.0,0.1,0.3,0.5,0.7,0.9
16,False,False,True,True,,,
43,False,False,False,False,False,True,
89,False,False,True,,,,
115,False,False,True,,,,
130,False,False,False,False,True,,
140,False,False,False,False,False,False,True
141,False,False,False,True,,,
145,False,False,False,True,,,
159,False,False,False,False,False,False,True
162,False,False,False,True,,,
232,False,False,False,False,True,,
246,False,False,False,False,False,False,True
272,False,False,False,False,True,,
362,False,False,False,False,True,,
387,False,False,False,False,False,False,True
409,False,False,False,True,,,
439,False,False,False,True,,,
445,False,False,False,False,True,,
463,False,False,False,True,,,
469,False,False,False,True,,,
480,False,False,False,False,True,,
499,False,False,False,True,,,
