task_id,-1,0.0,0.1,0.3,0.5,0.7,0.9
11,False,False,False,False,False,False,True
20,False,False,False,True,,,
42,False,False,False,False,False,True,
45,False,False,False,False,False,True,
51,False,False,False,False,False,True,
63,False,False,False,False,False,True,
78,False,False,False,True,,,
89,False,False,False,True,,,
145,False,False,True,,,,
156,False,False,False,False,False,False,True
160,False,False,False,False,True,,
164,False,False,False,False,False,True,
166,False,False,False,False,False,False,True
175,False,False,False,False,True,,
199,False,False,False,True,,,
209,False,False,False,True,,,
216,False,False,False,False,False,False,True
244,False,False,True,,,,
248,False,False,False,False,True,,
252,False,False,True,,,,
299,False,False,False,False,False,False,True
301,False,False,False,False,True,,
316,False,False,False,True,,,
318,False,False,False,False,False,False,True
327,False,False,False,True,,,
330,False,False,False,True,,,
331,False,False,False,False,True,,
340,False,False,False,True,,,
344,False,False,False,False,False,False,True
345,False,False,False,True,,,
351,False,False,True,,,,
382,False,False,False,True,,,
388,False,False,False,False,True,,
393,False,False,False,False,False,True,True
395,False,False,True,,,,
403,False,False,False,True,,,
414,False,False,False,False,True,,
422,False,False,False,True,,,
427,False,False,False,True,,,
433,False,False,False,False,True,,
450,False,False,False,True,,,
463,False,False,False,False,True,,
466,False,False,False,False,False,True,
471,False,False,False,False,False,True,
488,False,False,False,False,True,,
509,False,False,False,True,,,
