task_id,-1,-0.1,0.0,0.1,0.3,0.5,0.7,0.8,0.9
11,False,False,False,False,False,False,True,True,False
14,True,False,True,True,True,False,False,False,False
17,True,True,True,False,False,False,False,False,False
19,True,True,True,True,True,False,False,False,False
20,True,True,False,False,True,True,True,True,False
22,True,True,True,True,False,False,False,False,False
25,True,False,True,True,True,True,True,True,
28,True,False,True,False,False,False,False,False,False
34,True,,True,False,False,False,False,False,False
35,False,False,False,False,False,True,True,True,True
40,True,True,False,False,False,False,False,False,False
44,False,False,False,False,False,False,False,True,True
46,False,False,False,False,False,True,True,False,False
49,True,True,False,False,False,False,False,False,False
52,True,True,False,False,False,False,False,False,False
53,True,True,True,True,True,False,False,False,False
54,False,False,False,False,False,False,True,True,True
79,True,True,True,True,True,False,False,False,False
80,True,False,True,True,True,False,False,False,False
88,True,True,True,False,False,False,False,False,False
89,True,False,True,True,True,False,False,False,False
90,True,True,True,True,True,True,False,False,False
97,True,True,False,False,False,False,False,False,False
98,True,True,True,True,False,False,False,False,False
99,True,True,False,False,False,False,False,False,False
103,True,False,True,True,True,True,False,False,False
104,True,False,True,True,True,True,True,,
112,True,True,True,True,True,False,False,False,False
115,True,True,False,False,False,False,False,False,False
116,True,True,False,False,False,False,False,False,False
118,True,True,False,False,False,True,True,,
121,True,True,False,False,False,False,False,False,False
122,True,False,True,True,True,True,True,False,False
132,True,True,False,False,True,True,True,True,True
133,True,False,True,True,True,True,,,
134,False,False,False,False,False,False,False,False,True
136,True,True,False,False,False,False,False,False,False
141,True,True,True,True,True,,False,,
144,True,True,False,False,True,True,True,True,
145,True,True,True,False,False,False,False,False,False
154,True,True,False,False,False,False,False,False,False
166,True,True,True,True,False,False,False,False,False
170,True,True,False,False,False,False,False,False,False
171,True,True,True,True,True,True,False,False,False
173,True,True,False,False,False,True,True,True,
175,True,False,True,True,False,False,False,False,False
176,True,True,False,False,False,False,False,False,False
178,True,True,False,False,False,False,False,False,False
179,True,False,True,False,False,False,False,False,False
183,True,False,True,True,True,,,,
184,False,False,False,False,False,False,False,True,False
187,True,True,True,False,False,False,False,False,False
189,True,False,True,False,False,False,False,False,False
191,True,False,True,True,True,True,,,
193,True,True,False,False,False,False,False,False,False
200,False,False,False,False,False,False,False,False,True
222,True,True,True,False,False,False,False,False,False
223,False,False,False,False,False,False,True,True,True
224,True,True,True,True,False,False,False,False,False
226,True,False,True,True,False,False,False,False,False
230,True,True,False,False,False,False,False,False,False
238,True,True,True,True,False,False,False,False,False
248,True,True,True,True,True,True,False,False,False
249,True,True,False,True,False,False,False,False,False
252,True,True,False,False,False,False,False,False,False
253,True,True,True,True,True,True,False,False,False
261,True,True,False,False,False,False,False,False,False
263,True,True,False,False,False,True,True,True,True
268,True,False,True,True,True,,,,
269,False,False,False,False,True,True,True,True,True
270,False,False,False,False,True,False,False,False,False
274,False,False,False,True,False,False,False,False,False
277,True,True,True,True,True,True,False,False,False
280,True,True,False,False,False,False,False,False,False
284,True,True,False,False,True,True,True,False,False
290,True,True,True,True,True,True,False,False,False
293,True,True,True,True,False,False,False,False,False
296,True,True,True,True,False,False,False,False,False
297,True,True,False,False,False,False,False,False,False
302,False,False,False,False,False,True,True,True,False
316,True,False,True,True,True,True,True,True,
319,True,True,True,False,False,False,True,True,True
322,False,False,False,True,True,False,False,False,False
326,True,True,False,False,False,False,False,False,False
331,True,True,False,False,False,False,False,False,False
333,True,True,False,False,True,True,,,
336,True,False,True,True,True,True,True,True,
341,True,True,True,True,True,False,False,False,False
345,False,False,False,False,True,True,True,True,
351,True,False,True,True,True,,,,
352,True,False,True,True,True,True,True,,
357,True,True,False,False,False,False,False,False,False
360,False,False,False,True,True,True,True,False,
361,True,True,True,True,True,True,True,False,False
372,True,True,False,False,False,False,False,False,False
375,True,False,True,True,True,True,True,True,
377,True,False,True,True,True,True,True,,
381,True,False,True,False,False,False,False,False,False
384,True,True,True,False,False,True,True,True,True
393,True,True,True,True,False,False,False,False,False
394,True,True,False,False,False,False,False,False,False
395,False,False,False,False,False,True,False,False,False
399,True,True,False,False,False,False,False,False,False
405,False,False,False,True,True,True,True,True,True
413,True,False,True,False,False,False,False,False,False
414,True,True,True,True,True,True,False,False,False
418,False,False,False,False,False,False,False,False,True
419,True,True,True,False,False,False,False,False,False
421,True,False,True,True,False,False,False,False,False
424,True,True,True,True,False,False,True,False,False
428,True,True,False,False,False,True,False,False,False
432,True,True,False,False,True,True,False,False,False
433,False,False,False,True,True,True,True,True,True
434,True,True,False,False,False,False,False,False,False
441,True,True,True,True,False,False,False,False,False
443,False,False,False,False,False,False,True,True,True
450,True,False,True,True,True,False,False,False,False
451,False,False,False,False,False,False,True,True,True
452,True,True,True,False,False,False,False,False,False
455,True,True,False,True,True,True,True,,
458,True,True,False,False,False,False,False,False,False
460,True,True,True,True,True,True,False,False,False
464,True,True,False,True,True,True,False,False,False
465,True,False,True,True,True,False,True,True,True
472,True,True,True,True,True,True,False,False,False
476,True,False,True,True,False,False,False,False,False
477,True,True,True,True,False,True,True,True,
480,True,True,True,True,False,False,False,False,False
489,True,True,True,True,False,False,False,False,False
498,True,True,True,True,True,False,False,False,False
502,False,False,False,False,False,False,False,False,True
504,True,False,True,True,False,False,False,False,False
509,False,False,False,False,False,False,True,True,False
